strain_entity_id,canonical_genome_path,total_bp,contigs,largest_contig_bp,skani_compatible,exclusion_reason
STRAIN_000412,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000412.fa.gz,4211343,1,4211343,True,
STRAIN_000413,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000413.fa.gz,2058319,1,2058319,True,
STRAIN_000414,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000414.fa.gz,4214812,1,4214812,True,
STRAIN_000415,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000415.fa.gz,1899956,1,1899956,True,
STRAIN_000416,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000416.fa.gz,3128783,2,3119435,True,
STRAIN_000417,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000417.fa.gz,2264056,1,2264056,True,
STRAIN_000418,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000418.fa.gz,3455529,3,3388033,True,
STRAIN_000419,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000419.fa.gz,2934954,1,2934954,True,
STRAIN_000420,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000420.fa.gz,2884677,11,2410217,True,
STRAIN_000421,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000421.fa.gz,1940170,1,1940170,True,
STRAIN_000422,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000422.fa.gz,2421287,1,2421287,True,
STRAIN_000423,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000423.fa.gz,1949874,1,1949874,True,
STRAIN_000424,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000424.fa.gz,3165622,25,803927,True,
STRAIN_000425,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000425.fa.gz,2053066,1,2053066,True,
STRAIN_000426,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000426.fa.gz,4217945,1,4217945,True,
STRAIN_000427,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000427.fa.gz,3080303,102,405771,True,
STRAIN_000428,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000428.fa.gz,2894885,25,434456,True,
STRAIN_000429,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000429.fa.gz,2098685,1,2098685,True,
STRAIN_000430,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000430.fa.gz,1869510,1,1869510,True,
STRAIN_000431,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000431.fa.gz,2850353,6,2642169,True,
STRAIN_000432,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000432.fa.gz,3576440,15,3235952,True,
STRAIN_000433,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000433.fa.gz,2744915,193,161173,True,
STRAIN_000434,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000434.fa.gz,3646071,234,308690,True,
STRAIN_000435,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000435.fa.gz,3393963,37,687397,True,
STRAIN_000436,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000436.fa.gz,3127674,99,306238,True,
STRAIN_000437,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000437.fa.gz,3198627,34,631275,True,
STRAIN_000438,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000438.fa.gz,3302055,67,273566,True,
STRAIN_000439,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000439.fa.gz,2302234,14,1570268,True,
STRAIN_000440,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000440.fa.gz,3433628,7,3193112,True,
STRAIN_000441,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000441.fa.gz,2329981,22,347949,True,
STRAIN_000443,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000443.fa.gz,2272328,4,2176678,True,
STRAIN_000444,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000444.fa.gz,2009507,25,515002,True,
STRAIN_000445,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000445.fa.gz,1868180,1,1868180,True,
STRAIN_000446,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000446.fa.gz,2872742,72,207972,True,
STRAIN_000447,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000447.fa.gz,3114755,2,3068152,True,
STRAIN_000448,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000448.fa.gz,3462990,7,3249180,True,
STRAIN_000449,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000449.fa.gz,2403402,1,2403402,True,
STRAIN_000450,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000450.fa.gz,1861754,1,1861754,True,
STRAIN_000451,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000451.fa.gz,3311056,1,3311056,True,
STRAIN_000452,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000452.fa.gz,1839134,1,1839134,True,
STRAIN_000453,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000453.fa.gz,2736171,10,2361510,True,
STRAIN_000454,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000454.fa.gz,3230754,2,3197722,True,
STRAIN_000455,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000455.fa.gz,2330408,25,376001,True,
STRAIN_000456,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000456.fa.gz,1636037,2,1422440,True,
STRAIN_000457,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000457.fa.gz,2884966,1,2884966,True,
STRAIN_000458,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000458.fa.gz,2493021,9,2250660,True,
STRAIN_000459,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000459.fa.gz,2753892,5,2495882,True,
STRAIN_000460,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000460.fa.gz,2537767,7,2381789,True,
STRAIN_000461,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000461.fa.gz,2536054,6,2392933,True,
STRAIN_000462,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000462.fa.gz,2701962,7,2530136,True,
STRAIN_000463,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000463.fa.gz,2418286,7,2248137,True,
STRAIN_000464,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000464.fa.gz,2459217,4,2422150,True,
STRAIN_000465,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000465.fa.gz,2768844,10,2397052,True,
STRAIN_000466,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000466.fa.gz,2655844,6,2453536,True,
STRAIN_000467,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000467.fa.gz,2694855,11,2419867,True,
STRAIN_000468,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000468.fa.gz,2788530,8,2571403,True,
STRAIN_000469,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000469.fa.gz,2499250,5,2381788,True,
STRAIN_000470,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000470.fa.gz,3246143,4,3055892,True,
STRAIN_000471,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000471.fa.gz,2977711,77,322041,True,
STRAIN_000472,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000472.fa.gz,2644941,22,848233,True,
STRAIN_000473,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000473.fa.gz,2079964,3,2053862,True,
STRAIN_000474,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000474.fa.gz,2148629,20,759941,True,
STRAIN_000475,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000475.fa.gz,2313528,61,168464,True,
STRAIN_000476,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000476.fa.gz,2239921,1,2239921,True,
STRAIN_000477,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000477.fa.gz,2509249,8,2428349,True,
STRAIN_000478,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000478.fa.gz,3047840,1,3047840,True,
STRAIN_000479,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000479.fa.gz,3165258,92,213451,True,
STRAIN_000480,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000480.fa.gz,3311558,68,291140,True,
STRAIN_000481,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000481.fa.gz,3988602,1,3988602,True,
STRAIN_000482,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000482.fa.gz,3988649,1,3988649,True,
STRAIN_000483,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000483.fa.gz,2459326,29,435481,True,
STRAIN_000484,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000484.fa.gz,3132867,1,3132867,True,
STRAIN_000485,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000485.fa.gz,2063606,1,2063606,True,
STRAIN_000486,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000486.fa.gz,3988630,1,3988630,True,
STRAIN_000487,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000487.fa.gz,4169187,2,4086692,True,
STRAIN_000488,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000488.fa.gz,4147173,1,4147173,True,
STRAIN_000489,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000489.fa.gz,1982893,149,97347,True,
STRAIN_000490,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000490.fa.gz,3200572,2,3186859,True,
STRAIN_000491,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000491.fa.gz,1944323,1,1944323,True,
STRAIN_000492,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000492.fa.gz,3040388,1,3040388,True,
STRAIN_000493,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000493.fa.gz,1991906,1,1991906,True,
STRAIN_000494,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000494.fa.gz,2898501,166,396305,True,
STRAIN_000495,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000495.fa.gz,2092273,1,2092273,True,
STRAIN_000496,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000496.fa.gz,3368579,66,575210,True,
STRAIN_000497,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000497.fa.gz,2942538,1,2942538,True,
STRAIN_000498,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000498.fa.gz,2008102,1,2008102,True,
STRAIN_000499,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000499.fa.gz,1991195,1,1991195,True,
STRAIN_000500,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000500.fa.gz,1865056,1,1865056,True,
STRAIN_000501,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000501.fa.gz,3329954,3,3259858,True,
STRAIN_000502,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000502.fa.gz,1951552,3,1866970,True,
STRAIN_000503,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000503.fa.gz,3013149,1,3013149,True,
STRAIN_000504,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000504.fa.gz,2802160,6,2650097,True,
STRAIN_000505,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000505.fa.gz,2012416,2,1954694,True,
STRAIN_000506,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000506.fa.gz,2908459,27,551089,True,
STRAIN_000507,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000507.fa.gz,2967632,77,325793,True,
STRAIN_000508,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000508.fa.gz,3182431,84,335520,True,
STRAIN_000509,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000509.fa.gz,2969707,6,2710941,True,
STRAIN_000510,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000510.fa.gz,1821173,1,1821173,True,
STRAIN_000511,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000511.fa.gz,3343256,58,306783,True,
STRAIN_000512,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000512.fa.gz,2419201,14,416318,True,
STRAIN_000513,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000513.fa.gz,2467947,74,178913,True,
STRAIN_000514,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000514.fa.gz,3309473,5,3202808,True,
STRAIN_000515,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000515.fa.gz,2011203,95,113352,True,
STRAIN_000516,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000516.fa.gz,3635902,1,3635902,True,
STRAIN_000517,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000517.fa.gz,1983266,108,170726,True,
STRAIN_000518,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000518.fa.gz,2043115,111,140940,True,
STRAIN_000519,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000519.fa.gz,1895978,138,101072,True,
STRAIN_000520,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000520.fa.gz,2432058,1,2432058,True,
STRAIN_000521,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000521.fa.gz,2414663,1,2414663,True,
STRAIN_000522,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000522.fa.gz,3170114,2,3063698,True,
STRAIN_000523,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000523.fa.gz,2364041,50,317153,True,
STRAIN_000524,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000524.fa.gz,2510381,1,2510381,True,
STRAIN_000525,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000525.fa.gz,1851207,1,1851207,True,
STRAIN_000526,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000526.fa.gz,2243572,1,2243572,True,
STRAIN_000527,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000527.fa.gz,1857468,1,1857468,True,
STRAIN_000528,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000528.fa.gz,1812305,1,1812305,True,
STRAIN_000529,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000529.fa.gz,2974909,111,364043,True,
STRAIN_000530,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000530.fa.gz,3048314,150,434880,True,
STRAIN_000531,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000531.fa.gz,2049030,2,2035631,True,
STRAIN_000532,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000532.fa.gz,2255245,2,2209387,True,
STRAIN_000533,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000533.fa.gz,2198663,2,2191149,True,
STRAIN_000534,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000534.fa.gz,3039280,1,3039280,True,
STRAIN_000535,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000535.fa.gz,3330006,4,3174864,True,
STRAIN_000536,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000536.fa.gz,2346663,1,2346663,True,
STRAIN_000537,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000537.fa.gz,3198690,1,3198690,True,
STRAIN_000538,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000538.fa.gz,2148781,56,239104,True,
STRAIN_000539,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000539.fa.gz,3061587,2,3010957,True,
STRAIN_000540,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000540.fa.gz,3038767,1,3038767,True,
STRAIN_000541,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000541.fa.gz,3541869,4,3359427,True,
STRAIN_000542,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000542.fa.gz,2317196,22,427072,True,
STRAIN_000543,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000543.fa.gz,3602752,1,3602752,True,
STRAIN_000544,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000544.fa.gz,3291849,1,3291849,True,
STRAIN_000545,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000545.fa.gz,2990071,1,2990071,True,
STRAIN_000546,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000546.fa.gz,3221350,27,528329,True,
STRAIN_000547,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000547.fa.gz,3412154,7,3175846,True,
STRAIN_000548,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000548.fa.gz,3201523,31,371421,True,
STRAIN_000549,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000549.fa.gz,1986363,60,115352,True,
STRAIN_000550,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000550.fa.gz,3323426,87,262335,True,
STRAIN_000551,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000551.fa.gz,2931951,39,368284,True,
STRAIN_000552,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000552.fa.gz,1987473,55,126421,True,
STRAIN_000553,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000553.fa.gz,2782240,161,127367,True,
STRAIN_000554,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000554.fa.gz,2897248,47,434229,True,
STRAIN_000555,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000555.fa.gz,2649463,10,2331362,True,
STRAIN_000556,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000556.fa.gz,1970142,36,670920,True,
STRAIN_000557,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000557.fa.gz,2044184,1,2044184,True,
STRAIN_000558,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000558.fa.gz,3447624,8,3230192,True,
STRAIN_000559,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000559.fa.gz,3006544,38,308787,True,
STRAIN_000560,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000560.fa.gz,3006277,38,308665,True,
STRAIN_000561,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000561.fa.gz,1800321,43,274706,True,
STRAIN_000562,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000562.fa.gz,3230597,2,3197727,True,
STRAIN_000563,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000563.fa.gz,2470207,614,107238,True,
STRAIN_000564,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000564.fa.gz,2367543,201,165599,True,
STRAIN_000565,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000565.fa.gz,2139733,379,50948,True,
STRAIN_000566,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000566.fa.gz,2255596,171,131634,True,
STRAIN_000567,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000567.fa.gz,2047507,250,107957,True,
STRAIN_000568,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000568.fa.gz,3231249,1,3231249,True,
STRAIN_000569,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000569.fa.gz,2244514,1,2244514,True,
STRAIN_000570,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000570.fa.gz,3191992,3,3120761,True,
STRAIN_000571,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000571.fa.gz,3370224,28,726176,True,
STRAIN_000572,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000572.fa.gz,2311020,1,2311020,True,
STRAIN_000573,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000573.fa.gz,3314628,55,511824,True,
STRAIN_000574,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000574.fa.gz,3259936,53,296208,True,
STRAIN_000575,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000575.fa.gz,2601591,109,149794,True,
STRAIN_000576,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000576.fa.gz,2005122,131,158668,True,
STRAIN_000577,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000577.fa.gz,3440138,119,301174,True,
STRAIN_000578,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000578.fa.gz,3261598,89,320044,True,
STRAIN_000579,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000579.fa.gz,3211268,1,3211268,True,
STRAIN_000580,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000580.fa.gz,2990082,1,2990082,True,
STRAIN_000581,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000581.fa.gz,2178894,1,2178894,True,
STRAIN_000582,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000582.fa.gz,3452333,6,3280506,True,
STRAIN_000583,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000583.fa.gz,3230619,2,3197744,True,
STRAIN_000584,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000584.fa.gz,3175098,4,3034884,True,
STRAIN_000585,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000585.fa.gz,1935423,1,1935423,True,
STRAIN_000586,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000586.fa.gz,3216285,6,3015495,True,
STRAIN_000587,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000587.fa.gz,3048677,3,3015887,True,
STRAIN_000588,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000588.fa.gz,3303780,4,3213092,True,
STRAIN_000589,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000589.fa.gz,1951037,34,669777,True,
STRAIN_000590,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000590.fa.gz,3097074,5,2990570,True,
STRAIN_000591,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000591.fa.gz,3265595,47,528446,True,
STRAIN_000592,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000592.fa.gz,2091003,58,329942,True,
STRAIN_000593,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000593.fa.gz,2220255,38,368467,True,
STRAIN_000594,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000594.fa.gz,3372750,77,269666,True,
STRAIN_000595,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000595.fa.gz,2356987,5,1285454,True,
STRAIN_000596,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000596.fa.gz,2430215,420,112835,True,
STRAIN_000597,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000597.fa.gz,3016870,3,2980779,True,
STRAIN_000598,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000598.fa.gz,3281039,5,3167967,True,
STRAIN_000599,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000599.fa.gz,2689431,464,123584,True,
STRAIN_000600,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000600.fa.gz,2202982,1,2202982,True,
STRAIN_000601,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000601.fa.gz,1908534,1,1908534,True,
STRAIN_000602,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000602.fa.gz,3181204,3,3084917,True,
STRAIN_000603,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000603.fa.gz,3415192,5,3267626,True,
STRAIN_000604,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000604.fa.gz,1944384,71,321531,True,
STRAIN_000605,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000605.fa.gz,3232240,1,3232240,True,
STRAIN_000606,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000606.fa.gz,2981934,5,2952198,True,
STRAIN_000607,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000607.fa.gz,3249304,6,2991907,True,
STRAIN_000608,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000608.fa.gz,3273679,7,2991504,True,
STRAIN_000609,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000609.fa.gz,3403608,8,3213344,True,
STRAIN_000610,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000610.fa.gz,3664215,1,3664215,True,
STRAIN_000611,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000611.fa.gz,3392770,87,233951,True,
STRAIN_000612,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000612.fa.gz,3376145,72,620004,True,
STRAIN_000613,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000613.fa.gz,3167850,93,251684,True,
STRAIN_000614,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000614.fa.gz,2206088,23,487798,True,
STRAIN_000615,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000615.fa.gz,1931632,1,1931632,True,
STRAIN_000616,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000616.fa.gz,2098685,1,2098685,True,
STRAIN_000617,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000617.fa.gz,3175351,143,253240,True,
STRAIN_000618,/root/autodl-tmp/axw/01_ani_foundation/canonical_genomes/STRAIN_000618.fa.gz,3173812,138,194237,True,
