strain_entity_id,current_genome_key,primary_accession,gcf_accession,gca_accession,species,strain,taxon_main,taxon_key,assembly_level,culture_collection,isolation_source,isolation_host,isolation_country,isolation_sample_type,legacy_pdb_ids,legacy_genome_uids,culture_collection_ids,local_genome_files,local_genome_file_count,old_paper_count,old_evidence_count,old_clinical_count,old_animal_count,old_in_vitro_count,probiotic_source_tags,matched_evidence_rows_v3,matched_publications_v3,matched_functions_v3,clinical_evidence_v3,animal_evidence_v3,in_vitro_evidence_v3,has_strain_resolved_evidence_v3,registry_accession_candidates,accession_source_columns,identity_match_status,identity_match_method,matched_genome_path,matched_genome_file,matched_genome_accessions,matched_valid_fasta,matched_total_bp,matched_n50,matched_contigs
STRAIN_000515,GCF_002762415.1,GCF_002762415.1,GCF_002762415.1,GCA_002762415.1,Limosilactobacillus reuteri,RC-14,reuteri,reuteri,Contig,,Probiotic Capsule,,India: Pune,whole organism,PDB_000275,Limosilactobacillus reuteri||RC-14,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002762415.1.fa.gz,1,31,31,9,22,0,Optibac,0,0,0,0,0,0,NO,GCF_002762415.1 | GCA_002762415.1,"GCF_002762415.1:current_genome_key,primary_accession,gcf_accession || GCA_002762415.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002762415.1.fa.gz,GCA_002762415.1.fa.gz,GCA_002762415.1,True,2011203,59325,95
STRAIN_000516,GCF_002786555.1,GCF_002786555.1,GCF_002786555.1,GCA_002786555.1,Heyndrickxia coagulans,LBSC (DSM 17654),coagulans,coagulans,Chromosome,,soil,,"India: Nashik, Maharashtra",Soil,PDB_000523,Heyndrickxia coagulans||LBSC (DSM 17654),DSM17654,G:\安雄伟论文\数据\genomes\ncbi\GCA_002786555.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_002786555.1 | GCA_002786555.1,"GCF_002786555.1:current_genome_key,primary_accession,gcf_accession || GCA_002786555.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002786555.1.fa.gz,GCA_002786555.1.fa.gz,GCA_002786555.1,True,3635902,3635902,1
STRAIN_000517,GCF_002794275.1,GCF_002794275.1,GCF_002794275.1,GCA_002794275.1,Limosilactobacillus fermentum,279,fermentum,fermentum,Contig,,feces of a 19-year-old female,Homo sapiens,Russia,mixed culture,PDB_000964,Limosilactobacillus fermentum||279,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002794275.1.fa.gz,1,1,1,0,1,0,Optibac,1,1,1,0,0,0,YES,GCF_002794275.1 | GCA_002794275.1,"GCF_002794275.1:current_genome_key,primary_accession,gcf_accession || GCA_002794275.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002794275.1.fa.gz,GCA_002794275.1.fa.gz,GCA_002794275.1,True,1983266,44731,108
STRAIN_000518,GCF_002794315.1,GCF_002794315.1,GCF_002794315.1,GCA_002794315.1,Limosilactobacillus fermentum,311,fermentum,fermentum,Contig,,feces of a 19-year-old female,Homo sapiens,Russia,mixed culture,PDB_000890,Limosilactobacillus fermentum||311,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002794315.1.fa.gz,1,2,2,0,1,0,Optibac,2,2,1,0,0,0,YES,GCF_002794315.1 | GCA_002794315.1,"GCF_002794315.1:current_genome_key,primary_accession,gcf_accession || GCA_002794315.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002794315.1.fa.gz,GCA_002794315.1.fa.gz,GCA_002794315.1,True,2043115,43265,111
STRAIN_000519,GCF_002798075.1,GCF_002798075.1,GCF_002798075.1,GCA_002798075.1,Limosilactobacillus fermentum,NCDC 400,fermentum,fermentum,Scaffold,,curd,not applicable,"India: Haryana, Karnal",Whole bacterial cell population,PDB_000312,Limosilactobacillus fermentum||NCDC 400,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002798075.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_002798075.1 | GCA_002798075.1,"GCF_002798075.1:current_genome_key,primary_accession,gcf_accession || GCA_002798075.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002798075.1.fa.gz,GCA_002798075.1.fa.gz,GCA_002798075.1,True,1895978,27950,138
STRAIN_000520,GCF_002804185.1,GCF_002804185.1,GCF_002804185.1,GCA_002804185.1,Lactococcus lactis subsp. lactis,F44,lactis,lactis|lactis,Complete Genome,,,,China:Tianjin,,PDB_000408,Lactococcus lactis subsp. lactis||F44,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002804185.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_002804185.1 | GCA_002804185.1,"GCF_002804185.1:current_genome_key,primary_accession,gcf_accession || GCA_002804185.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002804185.1.fa.gz,GCA_002804185.1.fa.gz,GCA_002804185.1,True,2432058,2432058,1
STRAIN_000521,GCF_002804285.1,GCF_002804285.1,GCF_002804285.1,GCA_002804285.1,Lactococcus lactis subsp. lactis,G423,lactis,lactis|lactis,Complete Genome,,,,China:Tianjin,,PDB_000407,Lactococcus lactis subsp. lactis||G423,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002804285.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_002804285.1 | GCA_002804285.1,"GCF_002804285.1:current_genome_key,primary_accession,gcf_accession || GCA_002804285.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002804285.1.fa.gz,GCA_002804285.1.fa.gz,GCA_002804285.1,True,2414663,2414663,1
STRAIN_000522,GCF_002813615.1,GCF_002813615.1,GCF_002813615.1,GCA_002813615.1,Lacticaseibacillus paracasei subsp. paracasei,TMW 1.1434,paracasei,paracasei|paracasei,Complete Genome,,starter culture,,Germany,cell culture,PDB_000335,Lacticaseibacillus paracasei subsp. paracasei||TMW 1.1434,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002813615.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_002813615.1 | GCA_002813615.1,"GCF_002813615.1:current_genome_key,primary_accession,gcf_accession || GCA_002813615.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002813615.1.fa.gz,GCA_002813615.1.fa.gz,GCA_002813615.1,True,3170114,3063698,2
STRAIN_000523,GCF_002833115.1,GCF_002833115.1,GCF_002833115.1,GCA_002833115.1,Bifidobacterium longum,APC1472,longum,longum,Contig,,fecal sample,Homo sapiens,Ireland,Whole organism,PDB_000672,Bifidobacterium longum||APC1472,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002833115.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_002833115.1 | GCA_002833115.1,"GCF_002833115.1:current_genome_key,primary_accession,gcf_accession || GCA_002833115.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002833115.1.fa.gz,GCA_002833115.1.fa.gz,GCA_002833115.1,True,2364041,203985,50
STRAIN_000524,GCF_002838345.1,GCF_002838345.1,GCF_002838345.1,GCA_002838345.1,Bifidobacterium breve,NRBB57,breve,breve,Complete Genome,,infant,Homo sapiens,Netherlands,Genome,PDB_000603,Bifidobacterium breve||NRBB57,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002838345.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_002838345.1 | GCA_002838345.1,"GCF_002838345.1:current_genome_key,primary_accession,gcf_accession || GCA_002838345.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002838345.1.fa.gz,GCA_002838345.1.fa.gz,GCA_002838345.1,True,2510381,2510381,1
STRAIN_000525,GCF_002843115.1,GCF_002843115.1,GCF_002843115.1,GCA_002843115.1,Streptococcus thermophilus,DGCC 7710,thermophilus,thermophilus,Complete Genome,,dairy culture,,not applicable,cell culture,PDB_000417,Streptococcus thermophilus||DGCC 7710,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002843115.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_002843115.1 | GCA_002843115.1,"GCF_002843115.1:current_genome_key,primary_accession,gcf_accession || GCA_002843115.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002843115.1.fa.gz,GCA_002843115.1.fa.gz,GCA_002843115.1,True,1851207,1851207,1
STRAIN_000526,GCF_002845845.1,GCF_002845845.1,GCF_002845845.1,GCA_002845845.1,Bifidobacterium bifidum,PRI 1,bifidum,bifidum,Complete Genome,,,Homo sapiens,"South Korea: Gyeonggido, Giheung",Bacteria,PDB_000710,Bifidobacterium bifidum||PRI 1,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002845845.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_002845845.1 | GCA_002845845.1,"GCF_002845845.1:current_genome_key,primary_accession,gcf_accession || GCA_002845845.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002845845.1.fa.gz,GCA_002845845.1.fa.gz,GCA_002845845.1,True,2243572,2243572,1
STRAIN_000527,GCF_002846075.1,GCF_002846075.1,GCF_002846075.1,GCA_002846075.1,Streptococcus thermophilus,GABA,thermophilus,thermophilus,Complete Genome,,milk,,China: Shanghai,cell culture,PDB_000432,Streptococcus thermophilus||GABA,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002846075.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_002846075.1 | GCA_002846075.1,"GCF_002846075.1:current_genome_key,primary_accession,gcf_accession || GCA_002846075.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002846075.1.fa.gz,GCA_002846075.1.fa.gz,GCA_002846075.1,True,1857468,1857468,1
STRAIN_000528,GCF_002846155.1,GCF_002846155.1,GCF_002846155.1,GCA_002846155.1,Streptococcus thermophilus,EPS,thermophilus,thermophilus,Complete Genome,,milk,,China: Shanghai,cell culture,PDB_000427,Streptococcus thermophilus||EPS,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002846155.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_002846155.1 | GCA_002846155.1,"GCF_002846155.1:current_genome_key,primary_accession,gcf_accession || GCA_002846155.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002846155.1.fa.gz,GCA_002846155.1.fa.gz,GCA_002846155.1,True,1812305,1812305,1
STRAIN_000529,GCF_002849515.1,GCF_002849515.1,GCF_002849515.1,GCA_002849515.1,Lacticaseibacillus rhamnosus,NRRL B-442,rhamnosus,rhamnosus,Contig,NRRL:B-442,missing,,USA,bacterial culture,PDB_000208,Lacticaseibacillus rhamnosus||NRRL B-442,NRRLB442,G:\安雄伟论文\数据\genomes\ncbi\GCA_002849515.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_002849515.1 | GCA_002849515.1,"GCF_002849515.1:current_genome_key,primary_accession,gcf_accession || GCA_002849515.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002849515.1.fa.gz,GCA_002849515.1.fa.gz,GCA_002849515.1,True,2974909,141613,111
STRAIN_000530,GCF_002849575.1,GCF_002849575.1,GCF_002849575.1,GCA_002849575.1,Lacticaseibacillus paracasei,DUP 13076,paracasei,paracasei,Contig,,missing,,USA,bacterial culture,PDB_000361,Lacticaseibacillus paracasei||DUP 13076,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002849575.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_002849575.1 | GCA_002849575.1,"GCF_002849575.1:current_genome_key,primary_accession,gcf_accession || GCA_002849575.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002849575.1.fa.gz,GCA_002849575.1.fa.gz,GCA_002849575.1,True,3048314,153320,150
STRAIN_000531,GCF_002849915.1,GCF_002849915.1,GCF_002849915.1,GCA_002849915.1,Lactobacillus helveticus,FAM8627,helveticus,helveticus,Complete Genome,,dairy product,,missing,whole organism,PDB_000719,Lactobacillus helveticus||FAM8627,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002849915.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_002849915.1 | GCA_002849915.1,"GCF_002849915.1:current_genome_key,primary_accession,gcf_accession || GCA_002849915.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002849915.1.fa.gz,GCA_002849915.1.fa.gz,GCA_002849915.1,True,2049030,2035631,2
STRAIN_000532,GCF_002849935.1,GCF_002849935.1,GCF_002849935.1,GCA_002849935.1,Lactobacillus helveticus,FAM8105,helveticus,helveticus,Complete Genome,,Tilsit cheese,,Switzerland,whole organism,PDB_000579,Lactobacillus helveticus||FAM8105,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002849935.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_002849935.1 | GCA_002849935.1,"GCF_002849935.1:current_genome_key,primary_accession,gcf_accession || GCA_002849935.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002849935.1.fa.gz,GCA_002849935.1.fa.gz,GCA_002849935.1,True,2255245,2209387,2
STRAIN_000533,GCF_002849955.1,GCF_002849955.1,GCF_002849955.1,GCA_002849955.1,Lactobacillus helveticus,FAM22155,helveticus,helveticus,Complete Genome,,Whey culture,,Switzerland,whole organism,PDB_000653,Lactobacillus helveticus||FAM22155,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002849955.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_002849955.1 | GCA_002849955.1,"GCF_002849955.1:current_genome_key,primary_accession,gcf_accession || GCA_002849955.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002849955.1.fa.gz,GCA_002849955.1.fa.gz,GCA_002849955.1,True,2198663,2191149,2
STRAIN_000534,GCF_002865565.1,GCF_002865565.1,GCF_002865565.1,GCA_002865565.1,Lacticaseibacillus paracasei,HD1.7,paracasei,paracasei,Complete Genome,missing,Chinese sauerkraut,missing,China:Heilongjiang provience,single cell,PDB_000365,Lacticaseibacillus paracasei||HD1.7,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002865565.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_002865565.1 | GCA_002865565.1,"GCF_002865565.1:current_genome_key,primary_accession,gcf_accession || GCA_002865565.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002865565.1.fa.gz,GCA_002865565.1.fa.gz,GCA_002865565.1,True,3039280,3039280,1
STRAIN_000535,GCF_002868755.1,GCF_002868755.1,GCF_002868755.1,GCA_002868755.1,Lactiplantibacillus plantarum,KC3,plantarum,plantarum,Complete Genome,,kimchi,,South Korea,Single bacteria,PDB_000081,Lactiplantibacillus plantarum||KC3,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002868755.1.fa.gz,1,1,1,0,1,0,,0,0,0,0,0,0,NO,GCF_002868755.1 | GCA_002868755.1,"GCF_002868755.1:current_genome_key,primary_accession,gcf_accession || GCA_002868755.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002868755.1.fa.gz,GCA_002868755.1.fa.gz,GCA_002868755.1,True,3330006,3174864,4
STRAIN_000536,GCF_002895225.1,GCF_002895225.1,GCF_002895225.1,GCA_002895225.1,Lactococcus lactis subsp. lactis,G50,lactis,lactis|lactis,Complete Genome,,Napier grass,,Japan: Okinawa,leaves,PDB_000392,Lactococcus lactis subsp. lactis||G50,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002895225.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_002895225.1 | GCA_002895225.1,"GCF_002895225.1:current_genome_key,primary_accession,gcf_accession || GCA_002895225.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002895225.1.fa.gz,GCA_002895225.1.fa.gz,GCA_002895225.1,True,2346663,2346663,1
STRAIN_000537,GCF_002895245.1,GCF_002895245.1,GCF_002895245.1,GCA_002895245.1,Lactiplantibacillus plantarum,LM1004,plantarum,plantarum,Complete Genome,,napa cabbage kimchi,,South Korea: Sancheong,whole organism(microbe),PDB_000082,Lactiplantibacillus plantarum||LM1004,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002895245.1.fa.gz,1,2,2,0,2,0,Optibac,0,0,0,0,0,0,NO,GCF_002895245.1 | GCA_002895245.1,"GCF_002895245.1:current_genome_key,primary_accession,gcf_accession || GCA_002895245.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002895245.1.fa.gz,GCA_002895245.1.fa.gz,GCA_002895245.1,True,3198690,3198690,1
STRAIN_000538,GCF_002899655.1,GCF_002899655.1,GCF_002899655.1,GCA_002899655.1,Limosilactobacillus fermentum,CRL1446,fermentum,fermentum,Contig,,Goat milk cheese,,Argentina: Tucuman,whole organism,PDB_000304,Limosilactobacillus fermentum||CRL1446,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002899655.1.fa.gz,1,4,4,0,4,0,Optibac,0,0,0,0,0,0,NO,GCF_002899655.1 | GCA_002899655.1,"GCF_002899655.1:current_genome_key,primary_accession,gcf_accession || GCA_002899655.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002899655.1.fa.gz,GCA_002899655.1.fa.gz,GCA_002899655.1,True,2148781,75620,56
STRAIN_000539,GCF_002901165.3,GCF_002901165.3,GCF_002901165.3,GCA_002901165.3,Lacticaseibacillus paracasei subsp. paracasei,NTU 101,paracasei,paracasei|paracasei,Complete Genome,DSM:28047,Feces of infant,Homo sapiens,Taiwan:Taipei,Pure culture,PDB_000343,Lacticaseibacillus paracasei subsp. paracasei||NTU 101,DSM28047,G:\安雄伟论文\数据\genomes\ncbi\GCA_002901165.3.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_002901165.3 | GCA_002901165.3,"GCF_002901165.3:current_genome_key,primary_accession,gcf_accession || GCA_002901165.3:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002901165.3.fa.gz,GCA_002901165.3.fa.gz,GCA_002901165.3,True,3061587,3010957,2
STRAIN_000540,GCF_002902825.1,GCF_002902825.1,GCF_002902825.1,GCA_002902825.1,Lacticaseibacillus paracasei,HDS-01,paracasei,paracasei,Complete Genome,missing,Chinese sauerkraut,missing,China:Heilongjiang provience,single cell,PDB_000367,Lacticaseibacillus paracasei||HDS-01,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002902825.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_002902825.1 | GCA_002902825.1,"GCF_002902825.1:current_genome_key,primary_accession,gcf_accession || GCA_002902825.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002902825.1.fa.gz,GCA_002902825.1.fa.gz,GCA_002902825.1,True,3038767,3038767,1
STRAIN_000541,GCF_002906875.1,GCF_002906875.1,GCF_002906875.1,GCA_002906875.1,Lactiplantibacillus plantarum subsp. plantarum,LB1-2,plantarum,plantarum|plantarum,Complete Genome,,beehive,Apis mellifera,Philippines: Los Banos,cell culture,PDB_000019,Lactiplantibacillus plantarum subsp. plantarum||LB1-2,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002906875.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_002906875.1 | GCA_002906875.1,"GCF_002906875.1:current_genome_key,primary_accession,gcf_accession || GCA_002906875.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002906875.1.fa.gz,GCA_002906875.1.fa.gz,GCA_002906875.1,True,3541869,3359427,4
STRAIN_000542,GCF_002914865.1,GCF_002914865.1,GCF_002914865.1,GCA_002914865.1,Bifidobacterium breve,BB02,breve,breve,Contig,,,,Italy,,PDB_000734,Bifidobacterium breve||BB02,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002914865.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_002914865.1 | GCA_002914865.1,"GCF_002914865.1:current_genome_key,primary_accession,gcf_accession || GCA_002914865.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002914865.1.fa.gz,GCA_002914865.1.fa.gz,GCA_002914865.1,True,2317196,176045,22
STRAIN_000543,GCF_002946455.1,GCF_002946455.1,GCF_002946455.1,GCA_002946455.1,Heyndrickxia coagulans,R11,coagulans,coagulans,Complete Genome,,soil,,China:Yunnan,soil,PDB_000524,Heyndrickxia coagulans||R11,,G:\安雄伟论文\数据\genomes\china\ncbi\GCA_002946455.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_002946455.1 | GCA_002946455.1,"GCF_002946455.1:current_genome_key,primary_accession,gcf_accession || GCA_002946455.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_002946455.1.fa.gz,GCA_002946455.1.fa.gz,GCA_002946455.1,True,3602752,3602752,1
STRAIN_000544,GCF_002948215.1,GCF_002948215.1,GCF_002948215.1,GCA_002948215.1,Lactiplantibacillus plantarum,KC28,plantarum,plantarum,Complete Genome,,Fermented Kimchi,,South Korea,Single cell culture,PDB_000083,Lactiplantibacillus plantarum||KC28,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002948215.1.fa.gz,1,1,1,0,1,0,Optibac,0,0,0,0,0,0,NO,GCF_002948215.1 | GCA_002948215.1,"GCF_002948215.1:current_genome_key,primary_accession,gcf_accession || GCA_002948215.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002948215.1.fa.gz,GCA_002948215.1.fa.gz,GCA_002948215.1,True,3291849,3291849,1
STRAIN_000545,GCF_002960215.1,GCF_002960215.1,GCF_002960215.1,GCA_002960215.1,Lacticaseibacillus rhamnosus,SCT-10-10-60,rhamnosus,rhamnosus,Complete Genome,,feces,Homo sapiens,China: Nanning,cell culture,PDB_000209,Lacticaseibacillus rhamnosus||SCT-10-10-60,,G:\安雄伟论文\数据\genomes\china\ncbi\GCA_002960215.1.fa.gz,1,0,0,0,0,0,,0,0,0,0,0,0,NO,GCF_002960215.1 | GCA_002960215.1,"GCF_002960215.1:current_genome_key,primary_accession,gcf_accession || GCA_002960215.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_002960215.1.fa.gz,GCA_002960215.1.fa.gz,GCA_002960215.1,True,2990071,2990071,1
STRAIN_000546,GCF_002994725.1,GCF_002994725.1,GCF_002994725.1,GCA_002994725.1,Lactiplantibacillus plantarum,C4,plantarum,plantarum,Scaffold,,kefir,,Spain: Granada,cell culture,PDB_000084,Lactiplantibacillus plantarum||C4,,G:\安雄伟论文\数据\genomes\ncbi\GCA_002994725.1.fa.gz,1,4,4,0,3,1,Optibac,0,0,0,0,0,0,NO,GCF_002994725.1 | GCA_002994725.1,"GCF_002994725.1:current_genome_key,primary_accession,gcf_accession || GCA_002994725.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_002994725.1.fa.gz,GCA_002994725.1.fa.gz,GCA_002994725.1,True,3221350,276444,27
STRAIN_000547,GCF_003020005.1,GCF_003020005.1,GCF_003020005.1,GCA_003020005.1,Lactiplantibacillus plantarum,K25,plantarum,plantarum,Complete Genome,,,,China,,PDB_000085,Lactiplantibacillus plantarum||K25,,G:\安雄伟论文\数据\genomes\ncbi\GCA_003020005.1.fa.gz,1,7,7,0,7,0,,0,0,0,0,0,0,NO,GCF_003020005.1 | GCA_003020005.1,"GCF_003020005.1:current_genome_key,primary_accession,gcf_accession || GCA_003020005.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_003020005.1.fa.gz,GCA_003020005.1.fa.gz,GCA_003020005.1,True,3412154,3175846,7
STRAIN_000548,GCF_003023825.1,GCF_003023825.1,GCF_003023825.1,GCA_003023825.1,Lactiplantibacillus plantarum,JDARSH,plantarum,plantarum,Contig,MCC:3595,milk sample,,India: Kolhapur,whole organism,PDB_000086,Lactiplantibacillus plantarum||JDARSH,,G:\安雄伟论文\数据\genomes\ncbi\GCA_003023825.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_003023825.1 | GCA_003023825.1,"GCF_003023825.1:current_genome_key,primary_accession,gcf_accession || GCA_003023825.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_003023825.1.fa.gz,GCA_003023825.1.fa.gz,GCA_003023825.1,True,3201523,174093,31
STRAIN_000549,GCF_003046055.1,GCF_003046055.1,GCF_003046055.1,GCA_003046055.1,Limosilactobacillus reuteri,LR5A,reuteri,reuteri,Scaffold,,sourdough,not applicable,Turkey,isolated organism,PDB_000265,Limosilactobacillus reuteri||LR5A,,G:\安雄伟论文\数据\genomes\ncbi\GCA_003046055.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_003046055.1 | GCA_003046055.1,"GCF_003046055.1:current_genome_key,primary_accession,gcf_accession || GCA_003046055.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_003046055.1.fa.gz,GCA_003046055.1.fa.gz,GCA_003046055.1,True,1986363,64120,60
STRAIN_000550,GCF_003046075.1,GCF_003046075.1,GCF_003046075.1,GCA_003046075.1,Lactiplantibacillus plantarum,PFC-311,plantarum,plantarum,Scaffold,,sourdough,not applicable,Turkey,isolated organism,PDB_000087,Lactiplantibacillus plantarum||PFC-311,,G:\安雄伟论文\数据\genomes\ncbi\GCA_003046075.1.fa.gz,1,0,0,0,0,0,Optibac,0,0,0,0,0,0,NO,GCF_003046075.1 | GCA_003046075.1,"GCF_003046075.1:current_genome_key,primary_accession,gcf_accession || GCA_003046075.1:gca_accession,local_genome_files",MATCHED,EXACT_VERSION,/root/autodl-tmp/axw/genomes/ncbi/GCA_003046075.1.fa.gz,GCA_003046075.1.fa.gz,GCA_003046075.1,True,3323426,74002,87
