genome_file,genome_path,file_size_bytes,accession_from_filename,accession_base,valid_fasta,contigs,total_bp,n50,largest_contig,smallest_contig,gc_percent,n_percent,error,all_path_accessions,all_path_accession_bases,n_path_accessions
GCA_004118615.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004118615.1.fa.gz,1019932,GCA_004118615.1,GCA_004118615,True,87,3392770,135926,233951,250,44.2691,0.007811,,GCA_004118615.1,GCA_004118615,1
GCA_004122965.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004122965.1.fa.gz,1011110,GCA_004122965.1,GCA_004122965,True,72,3376145,156641,620004,423,44.3436,0.008619,,GCA_004122965.1,GCA_004122965,1
GCA_004123035.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004123035.1.fa.gz,950663,GCA_004123035.1,GCA_004123035,True,93,3167850,96605,251684,352,44.5336,0.008555,,GCA_004123035.1,GCA_004123035,1
GCA_004125375.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004125375.1.fa.gz,652409,GCA_004125375.1,GCA_004125375,True,23,2206088,347030,487798,314,59.8665,4.5e-05,,GCA_004125375.1,GCA_004125375,1
GCA_004135895.1.fa.gz,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_004135895.1.fa.gz,565946,GCA_004135895.1,GCA_004135895,True,1,1931632,1931632,1931632,1931632,60.493,0.0,,GCA_004135895.1,GCA_004135895,1
GCA_004208815.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004208815.1.fa.gz,540021,GCA_004208815.1,GCA_004208815,True,1,2098685,2098685,2098685,2098685,52.5087,14.955413,,GCA_004208815.1,GCA_004208815,1
GCA_004301305.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004301305.1.fa.gz,946807,GCA_004301305.1,GCA_004301305,True,143,3175351,85062,253240,200,44.5608,0.991386,,GCA_004301305.1,GCA_004301305,1
GCA_004301335.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004301335.1.fa.gz,946178,GCA_004301335.1,GCA_004301335,True,138,3173812,79287,194237,200,44.5587,1.111313,,GCA_004301335.1,GCA_004301335,1
GCA_004301645.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004301645.1.fa.gz,943132,GCA_004301645.1,GCA_004301645,True,136,3166802,85495,231117,200,44.5596,1.165277,,GCA_004301645.1,GCA_004301645,1
GCA_004301685.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004301685.1.fa.gz,945304,GCA_004301685.1,GCA_004301685,True,131,3170582,86994,230264,200,44.5538,1.043405,,GCA_004301685.1,GCA_004301685,1
GCA_004301915.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004301915.1.fa.gz,945679,GCA_004301915.1,GCA_004301915,True,161,3184427,65491,151722,200,44.5635,1.627734,,GCA_004301915.1,GCA_004301915,1
GCA_004319685.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004319685.1.fa.gz,673384,GCA_004319685.1,GCA_004319685,True,1,2274632,2274632,2274632,2274632,58.5835,0.004396,,GCA_004319685.1,GCA_004319685,1
GCA_004337615.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004337615.1.fa.gz,1059387,GCA_004337615.1,GCA_004337615,True,11,3649371,3184808,3184808,5036,44.1111,0.0,,GCA_004337615.1,GCA_004337615,1
GCA_004348805.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004348805.1.fa.gz,546257,GCA_004348805.1,GCA_004348805,True,25,1857655,230557,675994,2032,34.5738,0.0,,GCA_004348805.1,GCA_004348805,1
GCA_004349685.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004349685.1.fa.gz,621868,GCA_004349685.1,GCA_004349685,True,115,2066995,48628,102034,217,38.6344,0.014127,,GCA_004349685.1,GCA_004349685,1
GCA_004354485.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004354485.1.fa.gz,769345,GCA_004354485.1,GCA_004354485,True,82,2627820,161786,444394,347,35.4404,0.011454,,GCA_004354485.1,GCA_004354485,1
GCA_004354655.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004354655.1.fa.gz,895130,GCA_004354655.1,GCA_004354655,True,125,3003415,56289,290533,825,46.4811,0.003363,,GCA_004354655.1,GCA_004354655,1
GCA_004355265.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004355265.1.fa.gz,597248,GCA_004355265.1,GCA_004355265,True,1,2009598,2009598,2009598,2009598,42.124,0.0,,GCA_004355265.1,GCA_004355265,1
GCA_004368425.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004368425.1.fa.gz,819025,GCA_004368425.1,GCA_004368425,True,164,2725308,40861,160031,516,46.4857,0.0,,GCA_004368425.1,GCA_004368425,1
GCA_004683785.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004683785.1.fa.gz,994270,GCA_004683785.1,GCA_004683785,True,192,3332995,48435,130875,500,44.3996,0.137384,,GCA_004683785.1,GCA_004683785,1
GCA_004683835.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004683835.1.fa.gz,605460,GCA_004683835.1,GCA_004683835,True,91,2024026,57818,147738,559,51.6654,0.157903,,GCA_004683835.1,GCA_004683835,1
GCA_004730965.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004730965.1.fa.gz,1054067,GCA_004730965.1,GCA_004730965,True,1,3534932,3534932,3534932,3534932,44.2442,0.0,,GCA_004730965.1,GCA_004730965,1
GCA_004771035.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004771035.1.fa.gz,974306,GCA_004771035.1,GCA_004771035,True,5,3267387,3096468,3096468,8686,44.6175,0.0,,GCA_004771035.1,GCA_004771035,1
GCA_004795205.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004795205.1.fa.gz,710699,GCA_004795205.1,GCA_004795205,True,57,2426000,219475,488443,233,34.9292,0.0,,GCA_004795205.1,GCA_004795205,1
GCA_004799295.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004799295.1.fa.gz,663523,GCA_004799295.1,GCA_004799295,True,21,2265060,357567,681072,324,62.4409,0.0,,GCA_004799295.1,GCA_004799295,1
GCA_004802595.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004802595.1.fa.gz,696112,GCA_004802595.1,GCA_004802595,True,114,2333831,120544,498713,206,58.7375,0.0,,GCA_004802595.1,GCA_004802595,1
GCA_004803425.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004803425.1.fa.gz,811309,GCA_004803425.1,GCA_004803425,True,91,2731642,135994,201520,200,59.3849,0.0,,GCA_004803425.1,GCA_004803425,1
GCA_004919065.2.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004919065.2.fa.gz,769190,GCA_004919065.2,GCA_004919065,True,1,2608223,2608223,2608223,2608223,59.2861,0.003834,,GCA_004919065.2,GCA_004919065,1
GCA_004936435.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_004936435.1.fa.gz,695606,GCA_004936435.1,GCA_004936435,True,1,2365873,2365873,2365873,2365873,60.1616,0.0,,GCA_004936435.1,GCA_004936435,1
GCA_006151905.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_006151905.1.fa.gz,873928,GCA_006151905.1,GCA_006151905,True,1,2941522,2941522,2941522,2941522,46.7452,0.0,,GCA_006151905.1,GCA_006151905,1
GCA_006228265.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_006228265.1.fa.gz,755703,GCA_006228265.1,GCA_006228265,True,3,2528774,2511216,2511216,3546,45.8672,0.0,,GCA_006228265.1,GCA_006228265,1
GCA_006228305.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_006228305.1.fa.gz,723109,GCA_006228305.1,GCA_006228305,True,6,2416054,2266069,2266069,11317,45.8917,0.0,,GCA_006228305.1,GCA_006228305,1
GCA_006381935.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_006381935.1.fa.gz,772151,GCA_006381935.1,GCA_006381935,True,56,2569807,217259,421514,222,45.6514,0.0,,GCA_006381935.1,GCA_006381935,1
GCA_006382065.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_006382065.1.fa.gz,744306,GCA_006382065.1,GCA_006382065,True,28,2477403,176227,346441,239,45.9566,0.0,,GCA_006382065.1,GCA_006382065,1
GCA_006770505.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_006770505.1.fa.gz,972325,GCA_006770505.1,GCA_006770505,True,2,3259255,3194447,3194447,64808,44.472,0.0,,GCA_006770505.1,GCA_006770505,1
GCA_006874665.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_006874665.1.fa.gz,633600,GCA_006874665.1,GCA_006874665,True,3,2151788,2084748,2084748,15134,38.9269,0.0,,GCA_006874665.1,GCA_006874665,1
GCA_007833595.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_007833595.1.fa.gz,985520,GCA_007833595.1,GCA_007833595,True,2,3306722,3255555,3255555,51167,44.4975,0.0,,GCA_007833595.1,GCA_007833595,1
GCA_007989125.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_007989125.1.fa.gz,863935,GCA_007989125.1,GCA_007989125,True,130,2872191,56109,289022,561,46.5094,0.0,,GCA_007989125.1,GCA_007989125,1
GCA_007989185.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_007989185.1.fa.gz,715991,GCA_007989185.1,GCA_007989185,True,321,2377451,14425,43231,506,46.4603,0.0,,GCA_007989185.1,GCA_007989185,1
GCA_007989685.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_007989685.1.fa.gz,911018,GCA_007989685.1,GCA_007989685,True,123,3034666,67872,480713,508,46.0836,0.0,,GCA_007989685.1,GCA_007989685,1
GCA_007990855.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_007990855.1.fa.gz,874823,GCA_007990855.1,GCA_007990855,True,190,2909187,23804,123632,554,46.5973,0.0,,GCA_007990855.1,GCA_007990855,1
GCA_008017355.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_008017355.1.fa.gz,849367,GCA_008017355.1,GCA_008017355,True,34,2834560,140059,722392,1030,46.6884,0.0,,GCA_008017355.1,GCA_008017355,1
GCA_008180075.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_008180075.1.fa.gz,784956,GCA_008180075.1,GCA_008180075,True,123,2655682,154988,449021,225,35.0318,0.0,,GCA_008180075.1,GCA_008180075,1
GCA_008369945.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_008369945.1.fa.gz,908724,GCA_008369945.1,GCA_008369945,True,128,3020118,73575,237568,201,46.177,0.050726,,GCA_008369945.1,GCA_008369945,1
GCA_008727835.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_008727835.1.fa.gz,910959,GCA_008727835.1,GCA_008727835,True,2,3067813,3022021,3022021,45792,46.7044,0.0,,GCA_008727835.1,GCA_008727835,1
GCA_008868445.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_008868445.1.fa.gz,789153,GCA_008868445.1,GCA_008868445,True,29,2573636,212284,495401,201,59.3904,0.0,,GCA_008868445.1,GCA_008868445,1
GCA_009295755.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_009295755.1.fa.gz,620811,GCA_009295755.1,GCA_009295755,True,151,2075935,39037,150626,1001,51.569,0.341822,,GCA_009295755.1,GCA_009295755,1
GCA_009295775.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_009295775.1.fa.gz,964827,GCA_009295775.1,GCA_009295775,True,48,3222993,178334,537183,1046,44.9176,0.067112,,GCA_009295775.1,GCA_009295775,1
GCA_009429065.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_009429065.1.fa.gz,907282,GCA_009429065.1,GCA_009429065,True,1,3064363,3064363,3064363,3064363,46.6929,0.003263,,GCA_009429065.1,GCA_009429065,1
GCA_009429085.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_009429085.1.fa.gz,725651,GCA_009429085.1,GCA_009429085,True,1,2452339,2452339,2452339,2452339,58.7018,0.004078,,GCA_009429085.1,GCA_009429085,1
GCA_009649105.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_009649105.1.fa.gz,617310,GCA_009649105.1,GCA_009649105,True,133,2056704,49708,230461,202,38.4991,0.0,,GCA_009649105.1,GCA_009649105,1
GCA_009676625.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_009676625.1.fa.gz,661514,GCA_009676625.1,GCA_009676625,True,1,2238401,2238401,2238401,2238401,50.9857,0.0,,GCA_009676625.1,GCA_009676625,1
GCA_009720585.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_009720585.1.fa.gz,1003237,GCA_009720585.1,GCA_009720585,True,4,3382104,3206264,3206264,40982,44.4001,0.0,,GCA_009720585.1,GCA_009720585,1
GCA_009728915.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_009728915.1.fa.gz,715296,GCA_009728915.1,GCA_009728915,True,1,2430682,2430682,2430682,2430682,60.2676,0.0,,GCA_009728915.1,GCA_009728915,1
GCA_009739485.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_009739485.1.fa.gz,962663,GCA_009739485.1,GCA_009739485,True,3,3240583,3183386,3183386,5986,46.3016,0.0,,GCA_009739485.1,GCA_009739485,1
GCA_009762745.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_009762745.1.fa.gz,994137,GCA_009762745.1,GCA_009762745,True,2,3332776,3323296,3323296,9480,44.422,0.0,,GCA_009762745.1,GCA_009762745,1
GCA_009823605.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_009823605.1.fa.gz,933326,GCA_009823605.1,GCA_009823605,True,107,3103773,67999,238720,1175,46.2667,0.1301,,GCA_009823605.1,GCA_009823605,1
GCA_009834405.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_009834405.1.fa.gz,849844,GCA_009834405.1,GCA_009834405,True,7,2867519,2667255,2667255,8093,46.4273,0.0,,GCA_009834405.1,GCA_009834405,1
GCA_009864015.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_009864015.1.fa.gz,991595,GCA_009864015.1,GCA_009864015,True,6,3327263,3222977,3222977,1331,44.3693,0.099181,,GCA_009864015.1,GCA_009864015,1
GCA_009885055.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_009885055.1.fa.gz,711933,GCA_009885055.1,GCA_009885055,True,91,2424658,126131,288625,507,34.9897,0.000412,,GCA_009885055.1,GCA_009885055,1
GCA_009914805.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_009914805.1.fa.gz,976726,GCA_009914805.1,GCA_009914805,True,14,3268876,499948,694118,3103,44.418,0.0,,GCA_009914805.1,GCA_009914805,1
GCA_009914845.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_009914845.1.fa.gz,597707,GCA_009914845.1,GCA_009914845,True,29,2016340,164687,298694,1011,51.9883,0.818314,,GCA_009914845.1,GCA_009914845,1
GCA_009996805.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_009996805.1.fa.gz,960700,GCA_009996805.1,GCA_009996805,True,403,3169723,89766,236189,206,46.2844,0.0,,GCA_009996805.1,GCA_009996805,1
GCA_010120595.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_010120595.1.fa.gz,621539,GCA_010120595.1,GCA_010120595,True,1,2102268,2102268,2102268,2102268,39.0187,0.0,,GCA_010120595.1,GCA_010120595,1
GCA_011008535.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_011008535.1.fa.gz,657819,GCA_011008535.1,GCA_011008535,True,58,2214245,272576,418722,510,56.4683,0.0,,GCA_011008535.1,GCA_011008535,1
GCA_011009755.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_011009755.1.fa.gz,988935,GCA_011009755.1,GCA_011009755,True,57,3308829,370047,547817,211,44.3739,0.0,,GCA_011009755.1,GCA_011009755,1
GCA_011022295.1.fa.gz,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_011022295.1.fa.gz,967670,GCA_011022295.1,GCA_011022295,True,5,3243828,3085008,3085008,16757,44.5435,0.0,,GCA_011022295.1,GCA_011022295,1
GCA_011029205.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_011029205.1.fa.gz,633019,GCA_011029205.1,GCA_011029205,True,16,2161794,212216,467960,424,62.6501,0.0,,GCA_011029205.1,GCA_011029205,1
GCA_011032745.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_011032745.1.fa.gz,574240,GCA_011032745.1,GCA_011032745,True,1,1939032,1939032,1939032,1939032,52.1741,0.0,,GCA_011032745.1,GCA_011032745,1
GCA_011032765.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_011032765.1.fa.gz,656631,GCA_011032765.1,GCA_011032765,True,1,2226862,2226862,2226862,2226862,51.1519,0.0,,GCA_011032765.1,GCA_011032765,1
GCA_011065435.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_011065435.1.fa.gz,605472,GCA_011065435.1,GCA_011065435,True,134,2016419,29849,118821,321,38.7722,0.0,,GCA_011065435.1,GCA_011065435,1
GCA_011290755.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_011290755.1.fa.gz,637180,GCA_011290755.1,GCA_011290755,True,415,2091502,40189,165143,201,52.5483,0.013818,,GCA_011290755.1,GCA_011290755,1
GCA_011770105.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_011770105.1.fa.gz,567137,GCA_011770105.1,GCA_011770105,True,1,1937197,1937197,1937197,1937197,60.4909,0.0,,GCA_011770105.1,GCA_011770105,1
GCA_012070635.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_012070635.1.fa.gz,954829,GCA_012070635.1,GCA_012070635,True,56,3181792,239387,341766,283,44.5198,0.003457,,GCA_012070635.1,GCA_012070635,1
GCA_012109355.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_012109355.1.fa.gz,969592,GCA_012109355.1,GCA_012109355,True,5,3253666,3037092,3037092,44357,44.4618,0.0,,GCA_012109355.1,GCA_012109355,1
GCA_012241605.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_012241605.1.fa.gz,894136,GCA_012241605.1,GCA_012241605,True,39,3002945,2924905,2924905,202,46.1928,0.184519,,GCA_012241605.1,GCA_012241605,1
GCA_012272935.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_012272935.1.fa.gz,993080,GCA_012272935.1,GCA_012272935,True,65,3315179,231289,553725,309,44.3511,0.0,,GCA_012272935.1,GCA_012272935,1
GCA_012273035.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_012273035.1.fa.gz,623797,GCA_012273035.1,GCA_012273035,True,1,2101878,2101878,2101878,2101878,51.752,0.0,,GCA_012273035.1,GCA_012273035,1
GCA_012689205.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_012689205.1.fa.gz,786226,GCA_012689205.1,GCA_012689205,True,25,2689055,479265,925382,223,34.9649,0.000521,,GCA_012689205.1,GCA_012689205,1
GCA_012931965.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_012931965.1.fa.gz,924844,GCA_012931965.1,GCA_012931965,True,150,3075253,69331,217853,219,46.2676,0.000455,,GCA_012931965.1,GCA_012931965,1
GCA_013167115.1.fa.gz,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_013167115.1.fa.gz,868859,GCA_013167115.1,GCA_013167115,True,1,2923663,2923663,2923663,2923663,46.7635,0.0,,GCA_013167115.1,GCA_013167115,1
GCA_013204895.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_013204895.1.fa.gz,790272,GCA_013204895.1,GCA_013204895,True,67,2568669,108808,291975,262,59.3467,0.0,,GCA_013204895.1,GCA_013204895,1
GCA_013256965.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_013256965.1.fa.gz,963656,GCA_013256965.1,GCA_013256965,True,3,3230201,3191656,3191656,5669,44.5154,0.0,,GCA_013256965.1,GCA_013256965,1
GCA_013305265.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_013305265.1.fa.gz,970197,GCA_013305265.1,GCA_013305265,True,5,3264501,3171824,3171824,14694,44.4659,0.0,,GCA_013305265.1,GCA_013305265,1
GCA_013342125.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_013342125.1.fa.gz,916947,GCA_013342125.1,GCA_013342125,True,558,3057669,91528,264166,205,46.4731,0.0,,GCA_013342125.1,GCA_013342125,1
GCA_013348825.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_013348825.1.fa.gz,635099,GCA_013348825.1,GCA_013348825,True,5,2162818,2069421,2069421,9085,38.9465,0.0,,GCA_013348825.1,GCA_013348825,1
GCA_013367715.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_013367715.1.fa.gz,1003369,GCA_013367715.1,GCA_013367715,True,3,3366732,3265930,3265930,25720,44.3887,0.0,,GCA_013367715.1,GCA_013367715,1
GCA_013394085.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_013394085.1.fa.gz,557410,GCA_013394085.1,GCA_013394085,True,1,1887974,1887974,1887974,1887974,52.472,0.106093,,GCA_013394085.1,GCA_013394085,1
GCA_013394345.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_013394345.1.fa.gz,1096989,GCA_013394345.1,GCA_013394345,True,2,3685082,3612790,3612790,72292,46.2953,2.7e-05,,GCA_013394345.1,GCA_013394345,1
GCA_013395015.3.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_013395015.3.fa.gz,789673,GCA_013395015.3,GCA_013395015,True,5,2706818,2573315,2573315,9908,35.0308,0.0,,GCA_013395015.3,GCA_013395015,1
GCA_013425565.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_013425565.1.fa.gz,918343,GCA_013425565.1,GCA_013425565,True,80,3062980,150837,318447,501,46.6111,0.011296,,GCA_013425565.1,GCA_013425565,1
GCA_013425655.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_013425655.1.fa.gz,915682,GCA_013425655.1,GCA_013425655,True,77,3054756,125056,318234,524,46.6229,0.011818,,GCA_013425655.1,GCA_013425655,1
GCA_013425665.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_013425665.1.fa.gz,926096,GCA_013425665.1,GCA_013425665,True,127,3082039,79174,318344,502,46.656,0.019111,,GCA_013425665.1,GCA_013425665,1
GCA_013425735.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_013425735.1.fa.gz,924034,GCA_013425735.1,GCA_013425735,True,78,3082213,133186,294749,509,46.5556,0.011161,,GCA_013425735.1,GCA_013425735,1
GCA_013458335.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_013458335.1.fa.gz,1002952,GCA_013458335.1,GCA_013458335,True,3,3364901,3244416,3244416,48701,44.3095,0.0,,GCA_013458335.1,GCA_013458335,1
GCA_013867595.1.fa.gz,/root/autodl-tmp/axw/genomes/china/ncbi/GCA_013867595.1.fa.gz,873322,GCA_013867595.1,GCA_013867595,True,108,2902983,58709,286929,678,46.474,0.0,,GCA_013867595.1,GCA_013867595,1
GCA_014084065.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_014084065.1.fa.gz,991684,GCA_014084065.1,GCA_014084065,True,6,3323585,3218570,3218570,2271,44.381,0.0,,GCA_014084065.1,GCA_014084065,1
GCA_014131735.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_014131735.1.fa.gz,969169,GCA_014131735.1,GCA_014131735,True,2,3250154,3242936,3242936,7218,44.5004,0.0,,GCA_014131735.1,GCA_014131735,1
GCA_014212185.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_014212185.1.fa.gz,865003,GCA_014212185.1,GCA_014212185,True,29,2892155,179274,340081,2431,46.7219,0.008609,,GCA_014212185.1,GCA_014212185,1
GCA_014334375.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_014334375.1.fa.gz,693848,GCA_014334375.1,GCA_014334375,True,1,2360935,2360935,2360935,2360935,60.1355,0.0,,GCA_014334375.1,GCA_014334375,1
GCA_014488995.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_014488995.1.fa.gz,623070,GCA_014488995.1,GCA_014488995,True,170,2077539,37704,123955,504,51.6989,0.010156,,GCA_014488995.1,GCA_014488995,1
GCA_014524935.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_014524935.1.fa.gz,636897,GCA_014524935.1,GCA_014524935,True,12,2163875,441467,704409,1406,59.2338,0.0,,GCA_014524935.1,GCA_014524935,1
GCA_014639015.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_014639015.1.fa.gz,892655,GCA_014639015.1,GCA_014639015,True,45,2969245,98398,217835,732,46.6875,0.030883,,GCA_014639015.1,GCA_014639015,1
GCA_014840995.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_014840995.1.fa.gz,989586,GCA_014840995.1,GCA_014840995,True,3,3317677,3247789,3247789,19592,44.4059,0.0,,GCA_014840995.1,GCA_014840995,1
GCA_015238575.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_015238575.1.fa.gz,892939,GCA_015238575.1,GCA_015238575,True,1,3007502,3007502,3007502,3007502,46.6909,0.0,,GCA_015238575.1,GCA_015238575,1
GCA_015693925.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_015693925.1.fa.gz,984814,GCA_015693925.1,GCA_015693925,True,1,3304282,3304282,3304282,3304282,44.5557,0.0,,GCA_015693925.1,GCA_015693925,1
GCA_015714775.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_015714775.1.fa.gz,963247,GCA_015714775.1,GCA_015714775,True,40,3218730,301551,702547,211,44.4661,0.0,,GCA_015714775.1,GCA_015714775,1
GCA_015714805.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_015714805.1.fa.gz,786098,GCA_015714805.1,GCA_015714805,True,148,2669227,111377,259009,201,35.1679,0.0,,GCA_015714805.1,GCA_015714805,1
GCA_015714835.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_015714835.1.fa.gz,938727,GCA_015714835.1,GCA_015714835,True,102,3132038,151487,294552,202,46.0781,0.0,,GCA_015714835.1,GCA_015714835,1
GCA_016029535.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_016029535.1.fa.gz,947004,GCA_016029535.1,GCA_016029535,True,45,3161186,345348,611865,237,44.6094,0.0,,GCA_016029535.1,GCA_016029535,1
GCA_016307165.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_016307165.1.fa.gz,641966,GCA_016307165.1,GCA_016307165,True,3,2199865,1630832,1630832,5653,62.6923,0.017728,,GCA_016307165.1,GCA_016307165,1
GCA_016598735.1.fa.gz,/root/autodl-tmp/axw/genomes/ncbi/GCA_016598735.1.fa.gz,1029087,GCA_016598735.1,GCA_016598735,True,14,3450683,3143149,3143149,1766,44.1476,0.0,,GCA_016598735.1,GCA_016598735,1
